,Plot_ID,lon,lat,climID
2318,854744104,14.48642696,59.61024139,6286
2319,854744304,14.50190114,59.60397921,6287
2320,854745104,14.73940683,59.88425734,6555
2321,854745304,14.76169383,59.87564332,6555
2322,854748104,15.46563653,59.71633802,6429
2323,854748304,15.46231529,59.69979996,6296
2324,854750104,15.09987568,59.79655897,6425
2325,854750304,15.1164398,59.79438128,6426
2326,854754304,16.2705551,59.6152551,6304
2327,854756104,15.91951188,59.7128221,6434
2328,854757304,16.53493236,59.88725883,6573
2329,854760104,17.24222399,59.70978462,6447
2330,854764104,18.39087828,59.50926525,6192
2331,854766304,18.04148324,59.59260058,6189
2332,854769304,17.69117371,59.69580289,6318
2333,854771104,18.31424642,59.86451316,6591
2334,854771304,18.30914561,59.86066034,6591
2335,854778104,15.73276137,59.98554697,6698
2336,854779104,16.16856322,59.97584476,6702
2337,854783104,17.17490978,60.07121927,6845
2338,854783304,17.17896784,60.06053522,6845
2339,854785104,16.82196859,60.15461921,6975
2340,854787304,17.9817634,59.95563484,6720
2341,854789104,18.43935844,60.17214778,6991
2342,854789304,18.43952582,60.17719424,6991
2343,854791304,18.06905166,60.26894571,7120
2344,854793104,17.71396704,60.37319625,7250
2345,854793304,17.71226293,60.36404946,7250
2346,854796104,17.47601393,60.55470306,7513
2347,854796304,17.46612837,60.54970291,7513
2348,854800104,17.91804985,60.54092188,7518
2349,855519203,13.37940987,55.69317687,955
2350,855544203,13.99413756,55.74480666,1094
2351,855550203,13.90915836,55.87916547,1227
2352,855558203,13.34742517,55.9102085,1354
2353,855566203,13.27459714,56.04767353,1486
2354,855582203,13.59830789,55.96730774,1356
2355,855587203,13.82342306,56.01509376,1492
2356,855595203,13.46712369,56.17313506,1621
2357,855599203,13.99100026,56.19785714,1626
2358,855605203,13.88260178,56.3327726,1891
2359,855613203,14.5902063,56.08913661,1499
2360,855621203,14.78828327,56.20300469,1767
2361,855633203,15.34176126,56.16672987,1640
2362,855639203,15.26583997,56.29574723,1772
2363,855645203,15.88826595,56.19088536,1645
2364,855647203,15.82842394,56.25992795,1778
2365,855653203,13.2762315,56.43277072,2018
2366,855663203,13.13902603,56.62530906,2283
2367,855675203,14.93334263,56.39289383,1902
2368,855679203,15.76032587,56.38893707,1910
2369,855681203,15.42849992,56.48336325,2040
2370,855691203,13.25262365,56.87900879,2550
2371,855697203,13.21006571,56.95182574,2683
2372,855701203,12.57571126,57.05529334,2809
2373,855705203,12.5231854,57.11219432,2942
2374,855707203,12.78023926,57.16736813,2944
2375,855717203,12.40533136,57.31623189,3207
2376,855727203,12.24614039,57.5140253,3471
2377,855731203,12.14109416,57.64128632,3603
2378,855733203,12.66919651,57.2955287,3076
2379,855739203,11.79504975,57.71920123,3732
2380,855767203,11.99766464,58.21939102,4399
2381,855773203,11.61512575,58.36364839,4529
2382,855781203,11.45948712,58.5615115,4793
2383,855801203,11.49760763,58.88474218,5192
2384,855821203,18.50031301,57.30297284,3268
2385,855831203,18.67772667,57.47882384,3402
2386,855833203,18.33439798,57.58130731,3532
2387,855835203,18.58915685,57.6112056,3667
2388,855845203,18.74999262,57.86787285,3935
2389,861501106,17.75806854,63.96121721,12038
2390,861501306,17.76937269,63.95115006,12038
2391,861504106,17.53188692,64.2426877,12435
2392,861504306,17.54013149,64.22190136,12435
2393,861509106,15.87972264,64.5087741,12817
2394,861509306,15.88156739,64.50914896,12817
2395,861510106,17.30206504,64.50888267,12832
2396,861510306,17.27596784,64.50022976,12831
2397,861512106,17.03290244,64.77599989,13095
2398,861512306,17.04113881,64.76277186,13095
